label,gt_speed,pred_speed,gt_rank,pred_rank,rank_delta
通常,1.0,0.02395007573068142,3,3,0
すたすた,2.4300404178069104,0.03604055568575859,1,1,0
せかせか,2.241369101630213,0.03043823316693306,2,2,0
てくてく,0.7933235002966537,0.02259485051035881,4,5,1
どっしどっし,0.7829186892596158,0.02275078371167183,5,4,-1
とぼとぼ,0.4790662881678663,0.014028395526111126,10,9,-1
のしのし,0.5728909648634692,0.01721763052046299,7,6,-1
のろのろ,0.5022536963524622,0.014460180886089802,9,8,-1
ぶらぶら,0.6356145317419398,0.01502477377653122,6,7,1
よたよた,0.5218760528600336,0.01186257041990757,8,11,3
よろよろ,0.307205228235017,0.01308206096291542,11,10,-1
